ID,gender,age,chronotype,bp_scale,motivation,daytime_sleepiness,self_reported_effectiveness
1,2,20,7,6.11,4,17,4
2,2,25,5,5.22,4,21,2
4,2,30,1,6.67,5,14,5
5,2,27,5,2.67,6,12,6
6,1,27,6,5.11,6,14,3
7,1,24,6,4.11,5,8,5
8,2,24,6,3.67,4,10,3
9,1,28,5,5.67,3,18,3
10,1,21,5,4.33,3,13,2
12,1,22,2,4.78,4,17,2
13,2,25,5,4.67,5,25,3
14,1,22,7,5.67,4,13,2
15,2,60,6,5.11,1,11,1
16,2,61,1,3.44,6,14,1
17,2,56,5,5,5,17,4
18,2,28,5,5.44,5,16,2
19,2,46,7,5.67,5,18,3
20,2,44,6,5.89,6,17,2
22,2,21,4,3,5,15,4
23,2,33,2,4.33,6,17,5
26,2,18,7,6.33,3,19,2
28,2,21,7,5.11,4,11,1
29,1,25,5,5.33,4,21,3
30,1,45,2,5.67,5,22,2
31,2,29,7,5.78,5,17,1
32,1,23,4,5.67,4,10,1
33,1,25,5,5.44,4,16,2
34,2,34,6,6.56,5,16,3
35,1,56,3,5.22,5,26,1
36,1,38,3,5,3,16,2
37,2,23,7,5.56,5,21,2
38,1,23,5,5.11,4,14,1
42,2,21,4,3.78,4,19,3
44,1,25,3,4.56,4,18,3
45,2,32,1,4.33,5,15,1
51,1,31,7,5.44,4,18,5
52,1,18,7,5.56,3,11,3
53,2,43,6,4.67,6,16,5
55,1,26,4,5,2,15,1
58,1,35,7,6.33,6,12,2
61,2,39,7,5.89,5,19,1
63,2,59,6,4,5,15,3
