date,user,bedtime,in_experimental_group,intended_bedtime,fitness,adherence_importance,rise_reason,risetime
"2015-05-29","10",2015-05-29 19:08:33.984,True,,,,,
"2015-05-31","10",2015-05-31 23:56:41.300,True,2015-05-31 23:00:00,52.0,100.0,True,2015-05-31 09:00:00
"2015-05-28","37",2015-05-28 21:45:42.339,False,,,,,
"2015-05-31","37",2015-06-01 01:13:39.921,False,2015-06-01 00:00:00,34.0,11.0,True,2015-05-31 08:30:00
"2015-05-31","12",2015-05-31 23:21:33.033,True,2015-05-31 23:30:00,23.0,78.0,True,2015-05-31 12:00:00
"2015-05-29","12",2015-05-29 10:59:13.533,True,,,,,
"2015-05-30","24",2015-05-30 23:08:00.790,False,,,,,
"2015-05-29","24",2015-05-30 00:30:41.851,False,,,,,
"2015-05-31","24",,False,2015-05-31 22:00:00,6.0,75.0,True,2015-05-31 10:15:00
"2015-05-28","1",2015-05-28 16:25:29.505,False,,,,,
"2015-05-31","1",2015-06-01 03:09:10.520,False,2015-06-01 01:00:00,49.0,34.0,True,2015-05-31 11:00:00
"2015-05-28","20",2015-05-28 18:41:20.514,True,,,,,
"2015-05-29","20",2015-05-29 20:50:56.370,True,,,,,
"2015-05-31","20",2015-05-31 22:31:44.148,True,2015-05-31 23:00:00,45.0,0.0,False,2015-05-31 08:50:00
"2015-05-31","9",,False,2015-05-31 23:00:00,29.0,50.0,True,2015-05-31 08:30:00
"2015-05-29","31",2015-05-29 22:30:48.304,False,,,,,
"2015-05-30","31",2015-05-31 00:26:06.577,False,,,,,
"2015-05-31","22",2015-05-31 22:44:46.140,True,2015-05-31 22:30:00,29.0,26.0,False,2015-05-31 10:00:00
"2015-05-27","36",2015-05-27 19:53:41.520,False,,,,,
"2015-05-31","31",2015-06-01 00:46:21.768,False,2015-06-01 00:30:00,72.0,81.0,True,2015-05-31 10:15:00
"2015-05-31","34",2015-05-31 22:58:31.111,False,2015-05-31 22:30:00,40.0,38.0,True,2015-05-31 09:00:00
"2015-05-29","34",2015-05-29 16:00:11.088,False,,,,,
"2015-05-30","34",2015-05-30 17:41:05.198,False,,,,,
"2015-05-31","36",2015-05-31 23:42:29.228,False,2015-05-31 22:00:00,45.0,62.0,True,2015-05-31 10:00:00
"2015-05-28","32",2015-05-28 18:34:23.223,False,,,,,
"2015-05-29","19",2015-05-30 00:49:34.578,False,,,,,
"2015-05-30","19",2015-05-31 00:09:47.451,False,,,,,
"2015-05-29","26",2015-05-29 17:51:29.653,True,,,,,
"2015-05-29","30",2015-05-29 13:55:21.253,False,,,,,
"2015-05-28","18",2015-05-28 23:12:47.626,True,,,,,
"2015-05-31","19",2015-06-01 00:43:28.221,False,2015-05-31 23:30:00,36.0,66.0,True,2015-05-31 09:00:00
"2015-05-31","26",2015-05-31 23:37:01.824,True,2015-05-31 23:30:00,12.0,66.0,True,2015-05-31 08:00:00
"2015-05-30","29",2015-05-30 11:29:07.278,False,,,,,
"2015-05-31","29",2015-06-01 00:21:18.172,False,,0.0,0.0,False,
"2015-05-31","30",2015-06-01 00:42:16.692,False,,,,,
"2015-06-01","20",2015-06-01 23:47:49.012,True,2015-06-01 23:30:00,83.0,92.0,True,2015-06-01 10:00:00
"2015-06-01","29",2015-06-01 22:45:31.933,False,2015-06-01 23:30:00,37.0,73.0,True,2015-06-01 06:30:00
"2015-06-01","37",2015-06-02 00:09:33.672,False,2015-06-01 23:30:00,17.0,73.0,True,2015-06-01 07:45:00
"2015-06-01","31",2015-06-02 00:08:33.418,False,2015-06-01 23:45:00,78.0,79.0,True,2015-06-01 08:15:00
"2015-06-01","1",2015-06-02 01:15:06.492,False,2015-06-02 00:00:00,81.0,80.0,True,2015-06-01 11:00:00
"2015-06-01","18",2015-06-02 00:01:36.049,True,2015-06-01 23:30:00,66.0,14.0,False,2015-06-01 11:15:00
"2015-06-01","22",2015-06-01 22:37:34.908,True,2015-06-01 22:30:00,77.0,80.0,True,2015-06-01 09:30:00
"2015-06-01","12",2015-06-01 23:39:41.960,True,2015-06-02 00:00:00,83.0,76.0,True,2015-06-01 09:30:00
"2015-06-01","9",,False,2015-06-02 00:00:00,69.0,64.0,True,2015-06-01 06:45:00
"2015-06-01","36",2015-06-01 22:12:53.382,False,2015-06-01 22:00:00,27.0,84.0,True,2015-06-01 07:30:00
"2015-06-01","34",2015-06-01 23:04:07.540,False,2015-06-01 22:30:00,44.0,48.0,True,2015-06-01 07:00:00
"2015-06-01","24",2015-06-01 22:26:38.095,False,2015-06-01 22:30:00,24.0,76.0,True,2015-06-01 07:40:00
"2015-06-01","10",2015-06-02 00:00:26.174,True,2015-06-02 00:00:00,87.0,100.0,True,2015-06-01 06:30:00
"2015-06-01","26",2015-06-02 01:02:04.866,True,,,,,
"2015-06-01","32",2015-06-01 23:15:12.527,False,2015-06-01 23:00:00,13.0,49.0,True,2015-06-01 07:35:00
"2015-06-02","19",2015-06-02 23:58:25.723,False,2015-06-02 23:30:00,19.0,73.0,True,2015-06-02 08:30:00
"2015-06-02","26",2015-06-03 00:30:55.849,True,2015-06-02 22:45:00,54.0,29.0,False,2015-06-02 09:30:00
"2015-06-02","29",2015-06-02 23:46:26.288,False,2015-06-02 23:00:00,77.0,67.0,True,2015-06-02 06:30:00
"2015-06-01","19",2015-06-02 00:43:49.192,False,,,,,
"2015-06-02","1",2015-06-03 00:54:58.297,False,2015-06-03 01:30:00,68.0,51.0,True,2015-06-02 08:45:00
"2015-06-02","20",2015-06-02 23:18:58.800,True,2015-06-02 23:00:00,38.0,91.0,True,2015-06-02 08:00:00
"2015-06-02","10",2015-06-02 23:35:29.448,True,2015-06-02 23:30:00,86.0,93.0,True,2015-06-02 09:00:00
"2015-06-02","22",2015-06-02 22:35:58.924,True,2015-06-02 22:30:00,73.0,67.0,True,2015-06-02 06:00:00
"2015-06-02","34",2015-06-02 23:15:44.251,False,2015-06-02 22:30:00,22.0,69.0,True,2015-06-02 07:30:00
"2015-06-02","31",2015-06-03 00:41:17.327,False,2015-06-02 23:30:00,14.0,45.0,True,2015-06-02 08:25:00
"2015-06-02","12",2015-06-03 03:44:28.193,True,2015-06-03 02:30:00,89.0,12.0,True,2015-06-02 07:30:00
"2015-06-02","9",,False,2015-06-03 00:00:00,78.0,61.0,False,2015-06-02 06:45:00
"2015-06-02","36",2015-06-02 22:29:24.607,False,2015-06-02 22:00:00,24.0,62.0,True,2015-06-02 07:15:00
"2015-06-02","24",2015-06-02 21:30:58.800,False,2015-06-02 22:30:00,64.0,33.0,True,2015-06-02 07:40:00
"2015-06-02","18",2015-06-03 00:19:32.032,True,2015-06-02 23:00:00,63.0,67.0,True,2015-06-02 08:00:00
"2015-06-02","30",2015-06-02 23:53:27.275,False,2015-06-02 23:30:00,70.0,0.0,False,2015-06-02 06:45:00
"2015-06-02","32",2015-06-03 00:15:38.125,False,,,,,
"2015-06-03","1",2015-06-04 01:18:19.084,False,2015-06-04 00:00:00,71.0,42.0,True,2015-06-03 09:30:00
"2015-06-03","22",2015-06-03 22:18:31.571,True,2015-06-03 22:30:00,68.0,62.0,True,2015-06-03 08:00:00
"2015-06-03","10",2015-06-03 22:45:15.152,True,2015-06-03 23:00:00,88.0,100.0,False,2015-06-03 06:30:00
"2015-06-03","12",2015-06-03 23:47:00.370,True,2015-06-03 23:30:00,28.0,66.0,True,2015-06-03 09:00:00
"2015-06-03","24",,False,2015-06-03 22:30:00,73.0,25.0,True,2015-06-03 09:00:00
"2015-06-03","20",2015-06-03 23:38:06.487,True,2015-06-03 23:30:00,75.0,49.0,True,2015-06-03 09:00:00
"2015-06-03","34",2015-06-03 23:18:37.611,False,2015-06-03 22:30:00,32.0,58.0,True,2015-06-03 07:15:00
"2015-06-03","18",2015-06-04 00:10:17.571,True,2015-06-03 22:30:00,55.0,63.0,True,2015-06-03 06:35:00
"2015-06-03","9",,False,2015-06-04 00:30:00,54.0,17.0,False,2015-06-03 06:45:00
"2015-06-03","31",2015-06-04 02:13:26.703,False,2015-06-03 23:45:00,69.0,66.0,True,2015-06-03 08:30:00
"2015-06-03","36",2015-06-03 23:19:27.453,False,2015-06-03 22:30:00,55.0,66.0,True,2015-06-03 08:00:00
"2015-06-03","30",2015-06-03 23:50:11.806,False,2015-06-03 23:30:00,49.0,70.0,True,2015-06-03 06:15:00
"2015-06-03","37",2015-06-04 00:59:47.972,False,2015-06-04 00:00:00,25.0,50.0,True,2015-06-03 07:45:00
"2015-06-03","29",2015-06-04 00:18:49.538,False,2015-06-03 23:45:00,69.0,71.0,True,2015-06-03 06:30:00
"2015-06-03","26",2015-06-04 00:13:19.765,True,2015-06-03 23:00:00,63.0,70.0,True,2015-06-03 09:15:00
"2015-06-03","32",,False,2015-06-03 23:00:00,71.0,41.0,True,2015-06-03 09:00:00
"2015-06-03","19",,False,2015-06-04 00:00:00,41.0,63.0,True,2015-06-03 07:30:00
"2015-06-04","30",2015-06-04 23:46:04.762,False,2015-06-04 23:30:00,56.0,78.0,True,2015-06-04 05:15:00
"2015-06-04","24",2015-06-05 00:08:19.698,False,2015-06-04 22:30:00,83.0,23.0,False,2015-06-04 07:40:00
"2015-06-04","31",2015-06-05 01:42:46.466,False,2015-06-05 01:30:00,69.0,14.0,True,2015-06-04 08:00:00
"2015-06-04","22",2015-06-04 22:27:30.314,True,2015-06-04 22:30:00,86.0,89.0,True,2015-06-04 08:35:00
"2015-06-04","1",2015-06-05 00:32:35.802,False,2015-06-05 00:00:00,48.0,81.0,True,2015-06-04 11:20:00
"2015-06-04","12",2015-06-04 23:31:30.310,True,2015-06-04 23:30:00,75.0,50.0,True,2015-06-04 07:30:00
"2015-06-04","37",2015-06-05 00:46:57.300,False,2015-06-04 23:30:00,18.0,38.0,True,2015-06-04 07:50:00
"2015-06-04","20",2015-06-04 23:14:19.251,True,2015-06-04 23:00:00,48.0,89.0,True,2015-06-04 07:40:00
"2015-06-04","29",,False,2015-06-05 01:00:00,44.0,64.0,True,2015-06-04 06:30:00
"2015-06-04","9",,False,2015-06-05 00:00:00,73.0,52.0,True,2015-06-04 07:30:00
"2015-06-04","18",2015-06-04 23:15:26.924,True,2015-06-04 23:00:00,72.0,38.0,True,2015-06-04 06:45:00
"2015-06-04","36",2015-06-04 22:40:02.848,False,2015-06-04 22:30:00,37.0,44.0,True,2015-06-04 07:30:00
"2015-06-04","34",2015-06-05 00:05:04.512,False,2015-06-04 22:30:00,25.0,44.0,True,2015-06-04 07:15:00
"2015-06-04","10",2015-06-04 22:46:17.899,True,2015-06-05 00:00:00,98.0,99.0,True,2015-06-04 08:15:00
"2015-06-04","32",,False,2015-06-04 23:00:00,86.0,54.0,True,2015-06-04 08:30:00
